dt,AverageConsumption,Uncertainty
2010-01-01,418.3,5.3
2010-02-01,402.2,7.9
2010-03-01,393.2,13.8
2010-04-01,369.4,6.1
2010-05-01,330.6,5.4
2010-06-01,305.6,11.6
2010-07-01,293.6,7.6
2010-08-01,316.0,12.1
2010-09-01,325.8,12.7
2010-10-01,367.4,5.1
2010-11-01,394.8,14.1
2010-12-01,403.8,7.0
2011-01-01,433.5,9.4
2011-02-01,405.4,6.3
2011-03-01,403.3,12.8
2011-04-01,374.9,14.5
2011-05-01,340.9,17.7
2011-06-01,415.2
2011-06-01,317.0,12.2
2011-07-01,320.4,13.0
2011-08-01,328.5,12.5
2011-09-01,344.9,5.6
2011-10-01,361.0,8.8
2011-11-01,384.9,8.0
2011-12-01,405.6,8.6
2012-01-01,433.3,9.7
2012-02-01,419.5,7.7
2012-03-01,396.9,17.2
2012-04-01,378.6,25.9
2012-05-01,353.0,7.1
2012-06-01,324.5,17.9
2012-07-01,323.4,12.2
2012-08-01,331.8,16.0
2012-09-01,354.1,8.0
2012-10-01,363.8,9.1
2012-11-01,396.9,7.7
2012-12-01,433.3,16.4
2013-01-01,433.1,13.5
2013-02-01,427.6,16.9
2013-03-01,409.0,8.4
2013-04-01,376.4,12.3
2013-05-01,349.3,12.6
2013-06-01,344.4,10.2
2013-07-01,320.8,18.0
2013-08-01,335.1,6.2
2013-09-01,344.1,6.4
2013-10-01,385.6,15.3
2013-11-01,408.1,5.8
2013-12-01,427.3,17.9
2014-01-01,445.7,17.6
2014-02-01,446.3,5.1
2014-03-01,422.8,13.9
2014-04-01,390.9,8.5
2014-05-01,365.9,6.5
2014-03-01,,12.0
2014-06-01,340.8,10.9
2014-07-01,345.9,16.4
2014-08-01,336.7,11.5
2014-09-01,354.8,16.9
2014-10-01,398.9,8.9
2014-11-01,420.8,12.9
2014-12-01,429.3,14.9
2015-01-01,453.4,15.1
2015-02-01,445.9,5.0
2015-03-01,420.8,5.3
2015-04-01,407.8,16.4
2015-05-01,378.0,9.0
2015-06-01,339.3,16.4
2015-07-01,353.2,6.1
2015-08-01,349.5,5.9
2015-09-01,376.3,15.0
2015-10-01,388.6,11.2
2015-11-01,426.2,8.4
2015-12-01,454.1,10.5
2016-01-01,453.1,12.0
2016-02-01,458.1,7.6
2016-03-01,428.0,17.9
2016-04-01,408.6,10.7
2016-05-01,377.9,6.6
2016-06-01,350.8,9.4
2016-07-01,352.1,8.0
2016-08-01,350.7,5.9
2016-09-01,380.6,34.0
2016-10-01,413.6,5.9
2016-11-01,426.2,13.7
2016-12-01,445.8,6.7
2017-01-01,478.0,12.4
2017-02-01,459.5,15.2
2017-03-01,447.4,7.5
2017-04-01,402.8,10.6
2017-05-01,383.2,11.1
2017-06-01,370.4,13.8
2017-07-01,369.1,6.3
2017-08-01,362.5,9.4
2017-09-01,393.7,8.2
2017-08-01,not_numeric,9.5
2017-10-01,405.1,10.8
2017-11-01,438.1,8.6
2017-12-01,454.1,17.0
2018-01-01,473.6,16.2
2018-02-01,468.8,5.7
2018-03-01,459.5,15.9
2018-04-01,431.3,17.0
2018-05-01,400.9,7.2
2018-06-01,372.0,7.8
2018-07-01,362.6,5.8
2018-08-01,369.5,17.8
2018-09-01,386.9,15.2
2018-10-01,418.9,10.5
2018-11-01,458.5,17.9
2018-12-01,469.0,14.3
2019-01-01,474.2,8.9
2019-02-01,486.4,12.5
2019-03-01,456.0,14.7
2019-04-01,416.9,12.6
2019-05-01,400.1,16.1
2019-06-01,371.6,17.5
2019-07-01,362.4,7.4
2019-08-01,382.1,13.8
2019-09-01,393.6,6.6
2019-10-01,436.9,8.2
2019-11-01,457.3,13.1
2019-12-01,473.2,12.6
2020-01-01,490.5,17.2
2020-02-01,475.5,26.6
2020-03-01,460.0,13.7
2020-04-01,430.2,9.1
2020-05-01,413.5,5.9
2020-06-01,386.4,18.0
2019-12-01,505.0,unknown
2020-07-01,391.9,6.0
2020-08-01,380.5,8.4
2020-09-01,417.9,16.5
2020-10-01,444.1,9.8
2020-11-01,454.3,15.8
2020-12-01,487.5,13.0
2022-01-01,511.5,13.3
2022-02-01,491.9,14.6
2022-03-01,478.7,10.6
2022-04-01,438.2,6.0
2022-05-01,431.7,16.8
2022-06-01,403.5,15.8
2022-07-01,397.0,6.9
2022-08-01,393.4,9.0
2022-09-01,432.1,15.3
2022-10-01,458.7,16.7
2022-11-01,470.5,8.2
2022-12-01,488.1,15.1
2023-01-01,521.7,10.3
2023-02-01,508.0,7.0
2023-03-01,495.3,16.2
2023-04-01,468.9,15.5
2023-05-01,439.2,5.3
2023-06-01,415.5,9.3
2023-07-01,412.8,15.4
2023-08-01,418.6,15.5
2023-09-01,424.4,15.2
2023-10-01,448.1,16.3
2023-11-01,493.6,7.9
2023-12-01,512.7,11.0
2024-01-01,515.3,15.3
2024-02-01,506.1,5.3
2024-03-01,485.1,9.3
2024-04-01,473.7,17.6
2024-05-01,432.2,13.3
2024-06-01,415.0,17.8
2024-07-01,410.9,17.2
2024-08-01,408.1,17.6
2024-09-01,429.8,17.5
2024-10-01,459.4,6.4
2024-11-01,490.9,27.5
515.2,11.6
2025-01-01,524.7,12.5
2025-02-01,514.2,14.2
2025-03-01,488.0,17.0
2025-04-01,473.4,14.4
2025-05-01,450.8,13.7
2025-06-01,421.6,5.9
2025-07-01,421.4,9.3
2025-08-01,420.4,16.0
2025-09-01,450.3,8.9
2025-10-01,467.9,10.3
2025-11-01,497.7,8.8
2025-12-01,511.2,10.5
